# Force          
# CofR           : 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
#                
# Time           	total_x total_y total_z	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.807            	-3.5439493240e-02 -4.5869376941e-02 3.1847914866e-01	(-3.7385044295e-02 -4.7662985477e-02 3.1720272171e-01)	(1.9455510552e-03 1.7936085366e-03 1.2764269482e-03)
2.808            	-3.5330387208e-02 -4.5705839619e-02 3.2064627963e-01	(-3.7273411679e-02 -4.7502972329e-02 3.1937135003e-01)	(1.9430244710e-03 1.7971327095e-03 1.2749295996e-03)
2.809            	-3.4476012428e-02 -4.6783212553e-02 3.2660589420e-01	(-3.6419637629e-02 -4.8583271427e-02 3.2533180852e-01)	(1.9436252006e-03 1.8000588739e-03 1.2740856828e-03)
2.81             	-3.5856704057e-02 -4.5242543687e-02 3.1949683168e-01	(-3.7797090862e-02 -4.7044816792e-02 3.1822486253e-01)	(1.9403868054e-03 1.8022731048e-03 1.2719691525e-03)
2.811            	-3.4675823914e-02 -4.6228801316e-02 3.2749569248e-01	(-3.6616690775e-02 -4.8034261422e-02 3.2622463503e-01)	(1.9408668611e-03 1.8054601062e-03 1.2710574462e-03)
2.812            	-3.4963136073e-02 -4.5898706012e-02 3.2706650051e-01	(-3.6903960144e-02 -4.7707184532e-02 3.2579664885e-01)	(1.9408240713e-03 1.8084785200e-03 1.2698516609e-03)
2.813            	-3.5068312833e-02 -4.5560375912e-02 3.2698138668e-01	(-3.7008933819e-02 -4.7371878314e-02 3.2571284344e-01)	(1.9406209860e-03 1.8115024023e-03 1.2685432473e-03)
2.814            	-3.5237932147e-02 -4.5265374776e-02 3.2710533158e-01	(-3.7178050728e-02 -4.7079871342e-02 3.2583822330e-01)	(1.9401185807e-03 1.8144965658e-03 1.2671082783e-03)
2.815            	-3.5448166110e-02 -4.4999855754e-02 3.2750673599e-01	(-3.7387385637e-02 -4.6817361947e-02 3.2624106402e-01)	(1.9392195269e-03 1.8175061938e-03 1.2656719717e-03)
2.816            	-3.5376249400e-02 -4.4844332991e-02 3.2834248717e-01	(-3.7315025507e-02 -4.6664850795e-02 3.2707826917e-01)	(1.9387761065e-03 1.8205178044e-03 1.2642180054e-03)
2.817            	-3.5638152948e-02 -4.4518076093e-02 3.2829762120e-01	(-3.7575977307e-02 -4.6341508111e-02 3.2703493379e-01)	(1.9378243597e-03 1.8234320178e-03 1.2626874066e-03)
2.818            	-3.5596263454e-02 -4.4361950607e-02 3.2926335505e-01	(-3.7533538196e-02 -4.6188398168e-02 3.2800218326e-01)	(1.9372747417e-03 1.8264475609e-03 1.2611717829e-03)
2.819            	-3.6267909090e-02 -4.3823741446e-02 3.2733871819e-01	(-3.8202924032e-02 -4.5652422994e-02 3.2607951570e-01)	(1.9350149418e-03 1.8286815489e-03 1.2592024914e-03)
2.82             	-3.5618346588e-02 -4.3873943356e-02 3.3049826182e-01	(-3.7553242709e-02 -4.5705979730e-02 3.2924047378e-01)	(1.9348961214e-03 1.8320363747e-03 1.2577880449e-03)
2.821            	-3.5874455157e-02 -4.3615915786e-02 3.3051241692e-01	(-3.7808784942e-02 -4.5450936305e-02 3.2925616430e-01)	(1.9343297859e-03 1.8350205194e-03 1.2562526178e-03)
2.822            	-3.6004741603e-02 -4.3318681120e-02 3.3062621950e-01	(-3.7938405279e-02 -4.5156672978e-02 3.2937159744e-01)	(1.9336636757e-03 1.8379918583e-03 1.2546220622e-03)
2.823            	-3.6746064542e-02 -4.2870857795e-02 3.2985440293e-01	(-3.8677168032e-02 -4.4711580569e-02 3.2860158737e-01)	(1.9311034893e-03 1.8407227739e-03 1.2528155606e-03)
2.824            	-3.6113225212e-02 -4.3225672369e-02 3.3384723729e-01	(-3.8043775572e-02 -4.5069439181e-02 3.3259576338e-01)	(1.9305503602e-03 1.8437668117e-03 1.2514739114e-03)
2.825            	-3.6159089031e-02 -4.2830944843e-02 3.3344231331e-01	(-3.8089266177e-02 -4.4677683981e-02 3.3219230482e-01)	(1.9301771463e-03 1.8467391380e-03 1.2500084914e-03)
2.826            	-3.6725377305e-02 -4.1839750905e-02 3.2964668096e-01	(-3.8653582936e-02 -4.3689399556e-02 3.2839878844e-01)	(1.9282056308e-03 1.8496486507e-03 1.2478925204e-03)
2.827            	-3.6532605417e-02 -4.2279465087e-02 3.3447976696e-01	(-3.8459920313e-02 -4.4132148516e-02 3.3323334708e-01)	(1.9273148957e-03 1.8526834289e-03 1.2464198806e-03)
2.828            	-3.7055187599e-02 -4.1349878117e-02 3.3044423486e-01	(-3.8980210142e-02 -4.3205245181e-02 3.2920000086e-01)	(1.9250225433e-03 1.8553670638e-03 1.2442340000e-03)
2.829            	-3.6446293531e-02 -4.2147362879e-02 3.3748109564e-01	(-3.8371305736e-02 -4.4005733664e-02 3.3623809183e-01)	(1.9250122044e-03 1.8583707853e-03 1.2430038105e-03)
